序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
498785,="11:17:34.454",0xB5FB52,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498786,="11:17:34.454",0xB5FB64,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498787,="11:17:34.454",0xB5FB7A,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4C 
498788,="11:17:34.454",0xB5FB91,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498789,="11:17:34.454",0xB5FBA0,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 56 
498790,="11:17:34.454",0xB5FBEF,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F6 19 62 52 
498791,="11:17:34.454",0xB5FC0A,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 56 
498792,="11:17:34.454",0xB5FC14,ch1,接收,0x1819D0F3,数据帧,扩展帧,0x08,x| 00 2D 20 35 00 52 28 44 
498793,="11:17:34.454",0xB5FC19,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498794,="11:17:34.454",0xB5FC1F,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 54 28 51 28 
498795,="11:17:34.454",0xB5FC25,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 73 7C 20 0C E6 00 FF 
498796,="11:17:34.454",0xB5FC2A,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 07 41 41 41 41 41 41 F8 
498797,="11:17:34.454",0xB5FC30,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498798,="11:17:34.454",0xB5FC36,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0B 00 00 FF FF FF FF F4 
498799,="11:17:34.454",0xB5FC3B,ch1,接收,0x18FF94D5,数据帧,扩展帧,0x08,x| 04 40 06 C0 25 00 00 F4 
498800,="11:17:34.454",0xB5FC42,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4D 
498801,="11:17:34.454",0xB5FC59,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498802,="11:17:34.454",0xB5FC67,ch1,接收,0x0C08A79A,数据帧,扩展帧,0x08,x| 9D 27 23 28 59 33 4B 80 
498803,="11:17:34.484",0xB5FCA4,ch1,接收,0x0C19A7A1,数据帧,扩展帧,0x08,x| 00 00 00 B2 00 00 00 00 
498804,="11:17:34.484",0xB5FCB7,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F6 19 62 52 
498805,="11:17:34.484",0xB5FCD2,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 57 
498806,="11:17:34.484",0xB5FCE1,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498807,="11:17:34.484",0xB5FCF4,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498808,="11:17:34.484",0xB5FD0A,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4E 
498809,="11:17:34.484",0xB5FD21,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498810,="11:17:34.484",0xB5FD2F,ch1,接收,0x0C07A1A7,数据帧,扩展帧,0x08,x| 48 0C 48 0C AA 00 00 00 
498811,="11:17:34.484",0xB5FD7F,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 66 26 F8 19 62 52 
498812,="11:17:34.484",0xB5FD99,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 58 
498813,="11:17:34.514",0xB5FDA9,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498814,="11:17:34.514",0xB5FDBC,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498815,="11:17:34.514",0xB5FDD1,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 4F 
498816,="11:17:34.514",0xB5FDE8,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498817,="11:17:34.514",0xB5FDF7,ch1,接收,0x18EF3010,数据帧,扩展帧,0x08,x| 78 00 01 00 00 00 00 00 
498818,="11:17:34.514",0xB5FE13,ch1,接收,0x1807E5F4,数据帧,扩展帧,0x08,x| 0D B0 00 C8 01 FF FF FF 
498819,="11:17:34.514",0xB5FE18,ch1,接收,0x1818D0F3,数据帧,扩展帧,0x08,x| 30 33 7E 26 E6 00 00 42 
498820,="11:17:34.514",0xB5FE1E,ch1,接收,0x18FF97D2,数据帧,扩展帧,0x08,x| 5B 0D 15 11 15 0B 15 A4 
498821,="11:17:34.514",0xB5FE23,ch1,接收,0x18FF99D2,数据帧,扩展帧,0x08,x| 55 00 00 00 00 00 00 AA 
498822,="11:17:34.514",0xB5FE29,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0C 00 00 FF FF FF FF F3 
498823,="11:17:34.514",0xB5FE47,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F8 19 62 52 
498824,="11:17:34.514",0xB5FE61,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 59 
498825,="11:17:34.514",0xB5FE71,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498826,="11:17:34.514",0xB5FE83,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498827,="11:17:34.514",0xB5FE99,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 50 
498828,="11:17:34.514",0xB5FEB0,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498829,="11:17:34.514",0xB5FEBF,ch1,接收,0x180190A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 00 
498830,="11:17:34.544",0xB5FF0E,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F4 19 62 52 
498831,="11:17:34.544",0xB5FF29,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5A 
498832,="11:17:34.544",0xB5FF38,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498833,="11:17:34.544",0xB5FF4B,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498834,="11:17:34.544",0xB5FF61,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 51 
498835,="11:17:34.544",0xB5FF78,ch1,接收,0x0C02A2A7,数据帧,扩展帧,0x08,x| 5E 33 00 7D 55 55 AA 00 
498836,="11:17:34.544",0xB5FF87,ch1,接收,0x0C01F4A7,数据帧,扩展帧,0x08,x| 00 00 00 00 00 00 00 5B 
498837,="11:17:34.544",0xB5FFD6,ch1,接收,0x0C03A1A7,数据帧,扩展帧,0x08,x| 5E 33 70 26 F4 19 62 52 
498838,="11:17:34.544",0xB5FFF1,ch1,接收,0x0C04A1A7,数据帧,扩展帧,0x08,x| 83 03 5C 00 00 02 01 5B 
498839,="11:17:34.574",0xB60000,ch1,接收,0x0C05A1A7,数据帧,扩展帧,0x08,x| 09 10 4B 80 28 00 28 00 
498840,="11:17:34.574",0xB60006,ch1,接收,0x181AD0F3,数据帧,扩展帧,0x08,x| 00 00 FF FF 54 28 52 28 
498841,="11:17:34.574",0xB6000B,ch1,接收,0x180028F3,数据帧,扩展帧,0x08,x| 4E 54 28 5B 54 28 FF FF 
498842,="11:17:34.574",0xB60010,ch1,接收,0x18FF98D2,数据帧,扩展帧,0x08,x| 0D 42 42 41 41 42 42 F2 
498843,="11:17:34.574",0xB60016,ch1,接收,0x0C06A1A7,数据帧,扩展帧,0x08,x| 07 00 00 00 00 00 00 00 
498844,="11:17:34.574",0xB6001C,ch1,接收,0x18FF9AD2,数据帧,扩展帧,0x08,x| 00 6F 7C 21 0C E6 00 FF 
498845,="11:17:34.574",0xB60022,ch1,接收,0x18FF9CD2,数据帧,扩展帧,0x08,x| 0D 00 00 FF FF FF FF F2 
498846,="11:17:34.574",0xB60027,ch1,接收,0x18FF94D6,数据帧,扩展帧,0x08,x| 04 40 06 00 26 00 00 F2 
498847,="11:17:34.574",0xB6002D,ch1,接收,0x0C01A2A7,数据帧,扩展帧,0x08,x| 00 7D 92 00 7D 8F 00 52 
